,station_complex,borough,routes,weekend,latitude,longitude,ridership,average
733,Beverley Rd (Q),BK,Q,True,40.6440315246582,-73.96449279785156,124576,62288.0
734,"Allerton Av (2,5)",BX,"2,5",True,40.86546325683594,-73.86735534667969,123587,61793.5
735,Knickerbocker Av (M),BK,M,True,40.69866561889648,-73.91970825195312,122553,61276.5
736,"167 St (B,D)",BX,"B,D",True,40.833770751953125,-73.91844177246094,119451,59725.5
737,Pennsylvania Av (3),BK,3,True,40.66463470458984,-73.8948974609375,119335,59667.5
738,"Hewes St (J,M)",BK,"M,J",True,40.70687103271485,-73.95343017578125,118488,59244.0
739,Saratoga Av (3),BK,3,True,40.66145324707031,-73.91632843017578,117257,58628.5
740,33 St-Rawson St (7),Q,7,True,40.74458694458008,-73.93099975585938,116964,58482.0
741,"Chauncey St (J,Z)",BK,"J,Z",True,40.682891845703125,-73.91045379638672,116490,58245.0
742,"233 St (2,5)",BX,"2,5",True,40.893192291259766,-73.85747528076172,116277,58138.5
743,"39 Av (N,W)",Q,"N,W",True,40.75288009643555,-73.93275451660156,115407,57703.5
744,80 St (A),Q,A,True,40.67937088012695,-73.85899353027344,114683,57341.5
745,Fort Hamilton Pkwy (D),BK,D,True,40.64091491699219,-73.99430084228516,114301,57150.5
746,Far Rockaway-Mott Av (A),Q,A,True,40.60399627685547,-73.75540161132812,111458,55729.0
747,Rockaway Av (3),BK,3,True,40.66254806518555,-73.90894317626953,111065,55532.5
748,Central Av (M),BK,M,True,40.69785690307617,-73.92739868164062,110627,55313.5
749,"Jackson Av (2,5)",BX,"2,5",True,40.81649017333984,-73.90780639648438,109275,54637.5
750,Forest Av (M),Q,M,True,40.70442199707031,-73.903076171875,109208,54604.0
751,Harlem-148 St (3),M,3,True,40.82387924194336,-73.93647003173828,107514,53757.0
752,"138 St-Grand Concourse (4,5)",BX,"5,4",True,40.81322479248047,-73.92984771728516,107484,53742.0
753,"Freeman St (2,5)",BX,"2,5",True,40.82999420166016,-73.8918685913086,105452,52726.0
754,"65 St (M,R)",Q,"M,R",True,40.74966812133789,-73.89845275878906,103924,51962.0
755,155 St (C),M,C,True,40.83051681518555,-73.94151306152344,97592,48796.0
756,Castle Hill Av (6),BX,6,True,40.83425521850586,-73.8512191772461,97540,48770.0
757,"Bedford Park Blvd (B,D)",BX,"B,D",True,40.87324523925781,-73.88713836669922,96602,48301.0
758,"75 Av (E,F)",Q,"F,E",True,40.71833038330078,-73.83732604980469,94991,47495.5
759,"President St (2,5)",BK,"2,5",True,40.66788482666016,-73.95068359375,94195,47097.5
760,Gun Hill Rd (5),BX,5,True,40.86952590942383,-73.84638214111328,93151,46575.5
761,Longwood Av (6),BX,6,True,40.816104888916016,-73.89643859863281,91525,45762.5
762,86 St (N),BK,N,True,40.59272003173828,-73.97823333740234,90949,45474.5
763,50 St (D),BK,D,True,40.636260986328125,-73.99478912353516,90913,45456.5
764,"Tremont Av (B,D)",BX,"B,D",True,40.85041046142578,-73.90522766113281,90074,45037.0
765,Flushing Av (G),BK,G,True,40.70037841796875,-73.95023345947266,88756,44378.0
766,New Lots Av (L),BK,L,True,40.65873336791992,-73.89923095703125,88635,44317.5
767,Norwood-205 St (D),BX,D,True,40.87480926513672,-73.87885284423828,88423,44211.5
768,Canarsie-Rockaway Pkwy (L),BK,L,True,40.64665222167969,-73.90184783935547,87676,43838.0
769,Avenue H (Q),BK,Q,True,40.62926864624024,-73.96163940429688,85738,42869.0
770,Seneca Av (M),Q,M,True,40.702762603759766,-73.9077377319336,85638,42819.0
771,"36 St (M,R)",Q,"M,R",True,40.75204086303711,-73.92877960205078,85520,42760.0
772,"Kingsbridge Rd (B,D)",BX,"B,D",True,40.86697769165039,-73.89350891113281,85142,42571.0
773,Bushwick Av-Aberdeen St (L),BK,L,True,40.68283081054688,-73.9052505493164,84223,42111.5
774,Bay 50 St (D),BK,D,True,40.58884048461914,-73.9837646484375,83298,41649.0
775,21 St (G),Q,G,True,40.74406433105469,-73.94972229003906,82629,41314.5
776,Livonia Av (L),BK,L,True,40.664039611816406,-73.90057373046875,82082,41041.0
777,"225 St (2,5)",BX,"2,5",True,40.88802337646485,-73.86034393310547,81433,40716.5
778,"170 St (B,D)",BX,"B,D",True,40.83930587768555,-73.91339874267578,80690,40345.0
779,Beach 67 St-Arverne By The Sea (A),Q,A,True,40.59092712402344,-73.79692077636719,80306,40153.0
780,Middle Village-Metropolitan Av (M),Q,M,True,40.71139526367188,-73.88960266113281,80149,40074.5
781,"155 St (B,D)",M,"B,D",True,40.83013534545898,-73.9382095336914,77260,38630.0
782,Shepherd Av (C),BK,C,True,40.674129486083984,-73.88075256347656,76868,38434.0
783,145 St (3),M,3,True,40.82041931152344,-73.93624877929688,76755,38377.5
784,Westchester Sq-East Tremont Av (6),BX,6,True,40.83989334106445,-73.84294891357422,74750,37375.0
785,Van Siclen Av (C),BK,C,True,40.67271041870117,-73.8903579711914,74408,37204.0
786,"Intervale Av (2,5)",BX,"2,5",True,40.82218170166016,-73.89673614501953,73709,36854.5
787,Kings Hwy (F),BK,F,True,40.60321807861328,-73.97235870361328,72695,36347.5
788,Buhre Av (6),BX,6,True,40.84680938720703,-73.83256530761719,72219,36109.5
789,Junius St (3),BK,3,True,40.66351318359375,-73.90245056152344,71980,35990.0
790,"Nereid Av (2,5)",BX,"2,5",True,40.898380279541016,-73.85437774658203,71943,35971.5
791,85 St-Forest Pkwy (J),Q,J,True,40.69243621826172,-73.8600082397461,70990,35495.0
792,"219 St (2,5)",BX,"2,5",True,40.88389587402344,-73.86263275146484,70492,35246.0
793,"Burke Av (2,5)",BX,"2,5",True,40.87135696411133,-73.8671646118164,70164,35082.0
794,"Van Siclen Av (J,Z)",BK,"J,Z",True,40.67802429199219,-73.89168548583984,69917,34958.5
795,215 St (1),M,1,True,40.86944580078125,-73.91527557373047,69229,34614.5
796,East 105 St (L),BK,L,True,40.65057373046875,-73.89948272705078,67304,33652.0
797,Cypress Av (6),BX,6,True,40.80536651611328,-73.9140396118164,67075,33537.5
798,"182-183 Sts (B,D)",BX,"B,D",True,40.85609436035156,-73.90074157714844,67044,33522.0
799,Eastchester-Dyre Av (5),BX,5,True,40.888301849365234,-73.8308334350586,66828,33414.0
800,88 St (A),Q,A,True,40.67984390258789,-73.85147094726562,66659,33329.5
801,Van Siclen Av (3),BK,3,True,40.66544723510742,-73.88939666748047,64681,32340.5
802,Cleveland St (J),BK,J,True,40.67994689941406,-73.88463592529297,63147,31573.5
803,Ditmas Av (F),BK,F,True,40.6361198425293,-73.9781723022461,61738,30869.0
804,Liberty Av (C),BK,C,True,40.67454147338867,-73.89654541015625,60563,30281.5
805,"Norwood Av (J,Z)",BK,"J,Z",True,40.68141174316406,-73.88003540039062,60166,30083.0
806,Sutter Av (L),BK,L,True,40.66936874389648,-73.9019775390625,60021,30010.5
807,18 Av (F),BK,F,True,40.62975311279297,-73.97697448730469,60007,30003.5
808,"174-175 Sts (B,D)",BX,"B,D",True,40.84590148925781,-73.9101333618164,59033,29516.5
809,"Bronx Park East (2,5)",BX,"2,5",True,40.84882736206055,-73.86845397949219,56894,28447.0
810,Park Pl (S),BK,S,True,40.67477035522461,-73.95762634277344,56540,28270.0
811,Whitlock Av (6),BX,6,True,40.8265266418457,-73.88628387451172,55294,27647.0
812,"Woodhaven Blvd (J,Z)",Q,"J,Z",True,40.693878173828125,-73.85157775878906,55182,27591.0
813,Hunters Point Av (7),Q,7,True,40.74221420288086,-73.94891357421875,53256,26628.0
814,Baychester Av (5),BX,5,True,40.878662109375,-73.83859252929688,52201,26100.5
815,Aqueduct Racetrack (A),Q,A,True,40.672096252441406,-73.83592224121094,50739,25369.5
816,Alabama Av (J),BK,J,True,40.6769905090332,-73.89865112304688,50260,25130.0
817,111 St (A),Q,A,True,40.684329986572266,-73.83216094970703,49300,24650.0
