,station_complex,borough,routes,weekend,latitude,longitude,ridership,average
277,"135 St (B,C)",M,"C,B",False,40.8178939819336,-73.94764709472656,767247,153449.4
278,Canal St (1),M,1,False,40.72285461425781,-74.00627899169922,766469,153293.8
279,20 Av (D),BK,D,False,40.60455703735352,-73.9981689453125,765418,153083.6
280,"170 St (B,D)",BX,"B,D",False,40.83930587768555,-73.91339874267578,760045,152009.0
281,Brook Av (6),BX,6,False,40.80756759643555,-73.91924285888672,750296,150059.2
282,"Briarwood-Van Wyck Blvd (E,F)",Q,"F,E",False,40.70917892456055,-73.82057189941406,746169,149233.8
283,Marble Hill-225 St (1),M,1,False,40.87456130981445,-73.90982818603516,740215,148043.0
284,Rockaway Av (C),BK,C,False,40.678340911865234,-73.91194915771484,738929,147785.8
285,Broadway (G),BK,G,False,40.706092834472656,-73.95030975341797,737863,147572.6
286,71 St (D),BK,D,False,40.619590759277344,-73.99886322021484,730378,146075.6
287,Ralph Av (C),BK,C,False,40.6788215637207,-73.92078399658203,726597,145319.4
288,"West Farms Sq-East Tremont Av (2,5)",BX,"2,5",False,40.840293884277344,-73.88005065917969,702734,140546.8
289,Gun Hill Rd (5),BX,5,False,40.86952590942383,-73.84638214111328,699894,139978.8
290,176 St (4),BX,4,False,40.848480224609375,-73.91179656982422,697612,139522.4
291,Kingston Av (3),BK,3,False,40.66939926147461,-73.9421615600586,695018,139003.6
292,Jamaica-Van Wyck (E),Q,E,False,40.70256423950195,-73.81685638427734,694146,138829.2
293,"103 St (B,C)",M,"C,B",False,40.79609298706055,-73.96145629882812,690737,138147.4
294,Saratoga Av (3),BK,3,False,40.66145324707031,-73.91632843017578,684258,136851.6
295,"Eastern Pkwy-Brooklyn Museum (2,3)",BK,"3,2",False,40.6719856262207,-73.9643783569336,680068,136013.6
296,238 St (1),BX,1,False,40.88466644287109,-73.90087127685547,672715,134543.0
297,East 149 St (6),BX,6,False,40.81211853027344,-73.90409851074219,672361,134472.2
298,Neck Rd (Q),BK,Q,False,40.595245361328125,-73.95516204833984,670768,134153.6
299,Mt Eden Av (4),BX,4,False,40.84443283081055,-73.91468811035156,669144,133828.8
300,25 Av (D),BK,D,False,40.59770584106445,-73.98683166503906,668725,133745.0
301,"Smith-9 Sts (F,G)",BK,"F,G",False,40.67358016967773,-73.99595642089844,664400,132880.0
302,Forest Av (M),Q,M,False,40.70442199707031,-73.903076171875,662475,132495.0
303,190 St (A),M,A,False,40.8590202331543,-73.9341812133789,661800,132360.0
304,"Jackson Av (2,5)",BX,"2,5",False,40.81649017333984,-73.90780639648438,660370,132074.0
305,"Beverly Rd (2,5)",BK,"2,5",False,40.64509963989258,-73.94895935058594,657625,131525.0
306,Wilson Av (L),BK,L,False,40.68876266479492,-73.90404510498047,652627,130525.4
307,"Bergen St (2,3)",BK,"3,2",False,40.68082809448242,-73.97509765625,644954,128990.8
308,80 St (A),Q,A,False,40.67937088012695,-73.85899353027344,642261,128452.2
309,20 Av (N),BK,N,False,40.617408752441406,-73.98502349853516,639586,127917.2
310,Ditmas Av (F),BK,F,False,40.6361198425293,-73.9781723022461,636440,127288.0
311,85 St-Forest Pkwy (J),Q,J,False,40.69243621826172,-73.8600082397461,625888,125177.6
312,"Allerton Av (2,5)",BX,"2,5",False,40.86546325683594,-73.86735534667969,615773,123154.6
313,Westchester Sq-East Tremont Av (6),BX,6,False,40.83989334106445,-73.84294891357422,615322,123064.4
314,Fort Hamilton Pkwy (D),BK,D,False,40.64091491699219,-73.99430084228516,612771,122554.2
315,Far Rockaway-Mott Av (A),Q,A,False,40.60399627685547,-73.75540161132812,611333,122266.6
316,"182-183 Sts (B,D)",BX,"B,D",False,40.85609436035156,-73.90074157714844,609327,121865.4
317,Sutphin Blvd (F),Q,F,False,40.70545959472656,-73.81070709228516,607960,121592.0
318,"Lorimer St (J,M)",BK,"M,J",False,40.7038688659668,-73.9474105834961,605797,121159.4
319,Middle Village-Metropolitan Av (M),Q,M,False,40.71139526367188,-73.88960266113281,605192,121038.4
320,Pennsylvania Av (3),BK,3,False,40.66463470458984,-73.8948974609375,603715,120743.0
321,"233 St (2,5)",BX,"2,5",False,40.893192291259766,-73.85747528076172,601248,120249.6
322,Knickerbocker Av (M),BK,M,False,40.69866561889648,-73.91970825195312,598003,119600.6
323,Rockaway Av (3),BK,3,False,40.66254806518555,-73.90894317626953,597901,119580.2
324,Wakefield-241 St (2),BX,2,False,40.90312576293945,-73.85061645507812,593560,118712.0
325,"174-175 Sts (B,D)",BX,"B,D",False,40.84590148925781,-73.9101333618164,588760,117752.0
326,"36 St (M,R)",Q,"M,R",False,40.75204086303711,-73.92877960205078,588475,117695.0
327,Avenue U (N),BK,N,False,40.59747314453125,-73.97913360595703,583484,116696.8
328,Eastchester-Dyre Av (5),BX,5,False,40.888301849365234,-73.8308334350586,580640,116128.0
329,Central Av (M),BK,M,False,40.69785690307617,-73.92739868164062,577153,115430.6
330,"Freeman St (2,5)",BX,"2,5",False,40.82999420166016,-73.8918685913086,572350,114470.0
331,Buhre Av (6),BX,6,False,40.84680938720703,-73.83256530761719,560064,112012.8
332,25 St (R),BK,R,False,40.66039657592773,-73.99809265136719,558968,111793.6
333,St Lawrence Av (6),BX,6,False,40.83150863647461,-73.86761474609375,556510,111302.0
334,163 St-Amsterdam Av (C),M,C,False,40.83601379394531,-73.93989562988281,554003,110800.6
335,"39 Av (N,W)",Q,"N,W",False,40.75288009643555,-73.93275451660156,546620,109324.0
336,Beverley Rd (Q),BK,Q,False,40.6440315246582,-73.96449279785156,546558,109311.6
337,Nostrand Av (3),BK,3,False,40.66984558105469,-73.9504623413086,546155,109231.0
338,"138 St-Grand Concourse (4,5)",BX,"5,4",False,40.81322479248047,-73.92984771728516,545491,109098.2
339,18 Av (F),BK,F,False,40.62975311279297,-73.97697448730469,539773,107954.6
340,"President St (2,5)",BK,"2,5",False,40.66788482666016,-73.95068359375,531844,106368.8
341,"Bowery (J,Z)",M,"J,Z",False,40.72027969360352,-73.99391174316406,530688,106137.6
342,50 St (D),BK,D,False,40.636260986328125,-73.99478912353516,530659,106131.8
343,Kings Hwy (F),BK,F,False,40.60321807861328,-73.97235870361328,529020,105804.0
344,"Crescent St (J,Z)",BK,"J,Z",False,40.68319320678711,-73.87378692626953,520342,104068.4
345,Flushing Av (G),BK,G,False,40.70037841796875,-73.95023345947266,518044,103608.8
346,New Lots Av (L),BK,L,False,40.65873336791992,-73.89923095703125,511629,102325.8
347,Ocean Pkwy (Q),BK,Q,False,40.57631301879883,-73.96849822998047,511089,102217.8
348,Canarsie-Rockaway Pkwy (L),BK,L,False,40.64665222167969,-73.90184783935547,509779,101955.8
349,"65 St (M,R)",Q,"M,R",False,40.74966812133789,-73.89845275878906,505026,101005.2
350,Longwood Av (6),BX,6,False,40.816104888916016,-73.89643859863281,490723,98144.6
351,Harlem-148 St (3),M,3,False,40.82387924194336,-73.93647003173828,484561,96912.2
352,"75 Av (E,F)",Q,"F,E",False,40.71833038330078,-73.83732604980469,477212,95442.4
353,Avenue H (Q),BK,Q,False,40.62926864624024,-73.96163940429688,465456,93091.2
354,Avenue N (F),BK,F,False,40.61513900756836,-73.97419738769531,452551,90510.2
355,"104 St (J,Z)",Q,"J,Z",False,40.6951789855957,-73.84432983398438,445235,89047.0
356,"Woodhaven Blvd (J,Z)",Q,"J,Z",False,40.693878173828125,-73.85157775878906,442211,88442.2
357,East 105 St (L),BK,L,False,40.65057373046875,-73.89948272705078,440834,88166.8
358,"West 8 St-New York Aquarium (F,Q)",BK,"F,Q",False,40.57612609863281,-73.97593688964844,434790,86958.0
359,Pelham Pkwy (5),BX,5,False,40.858985900878906,-73.85536193847656,434138,86827.6
360,Howard Beach-JFK Airport (A),Q,A,False,40.66047668457031,-73.8302993774414,433656,86731.2
361,Seneca Av (M),Q,M,False,40.702762603759766,-73.9077377319336,432451,86490.2
362,Livonia Av (L),BK,L,False,40.664039611816406,-73.90057373046875,428116,85623.2
363,145 St (3),M,3,False,40.82041931152344,-73.93624877929688,424444,84888.8
364,"Nereid Av (2,5)",BX,"2,5",False,40.898380279541016,-73.85437774658203,424332,84866.4
365,88 St (A),Q,A,False,40.67984390258789,-73.85147094726562,418243,83648.6
366,"225 St (2,5)",BX,"2,5",False,40.88802337646485,-73.86034393310547,417105,83421.0
367,"155 St (B,D)",M,"B,D",False,40.83013534545898,-73.9382095336914,415461,83092.2
368,"Intervale Av (2,5)",BX,"2,5",False,40.82218170166016,-73.89673614501953,412872,82574.4
369,"Chauncey St (J,Z)",BK,"J,Z",False,40.682891845703125,-73.91045379638672,410398,82079.6
370,Baychester Av (5),BX,5,False,40.878662109375,-73.83859252929688,408766,81753.2
371,Bay 50 St (D),BK,D,False,40.58884048461914,-73.9837646484375,407181,81436.2
372,Avenue P (F),BK,F,False,40.60894393920898,-73.9730224609375,402942,80588.4
373,"Hewes St (J,M)",BK,"M,J",False,40.70687103271485,-73.95343017578125,399057,79811.4
374,Shepherd Av (C),BK,C,False,40.674129486083984,-73.88075256347656,398531,79706.2
375,Avenue X (F),BK,F,False,40.58961868286133,-73.97425079345703,395479,79095.8
376,Morris Park (5),BX,5,False,40.85436248779297,-73.8604965209961,388914,77782.8
377,"Burke Av (2,5)",BX,"2,5",False,40.87135696411133,-73.8671646118164,381694,76338.8
378,Zerega Av (6),BX,6,False,40.83648681640625,-73.84703826904297,375316,75063.2
379,Bushwick Av-Aberdeen St (L),BK,L,False,40.68283081054688,-73.9052505493164,374179,74835.8
380,86 St (N),BK,N,False,40.59272003173828,-73.97823333740234,370946,74189.2
381,"121 St (J,Z)",Q,"J,Z",False,40.70049285888672,-73.82829284667969,363438,72687.6
382,Van Siclen Av (C),BK,C,False,40.67271041870117,-73.8903579711914,363382,72676.4
383,"Van Siclen Av (J,Z)",BK,"J,Z",False,40.67802429199219,-73.89168548583984,360697,72139.4
384,Liberty Av (C),BK,C,False,40.67454147338867,-73.89654541015625,357923,71584.6
385,Cypress Av (6),BX,6,False,40.80536651611328,-73.9140396118164,353926,70785.2
386,155 St (C),M,C,False,40.83051681518555,-73.94151306152344,352683,70536.6
387,Van Siclen Av (3),BK,3,False,40.66544723510742,-73.88939666748047,351361,70272.2
388,Sutter Av (L),BK,L,False,40.66936874389648,-73.9019775390625,350767,70153.4
389,"219 St (2,5)",BX,"2,5",False,40.88389587402344,-73.86263275146484,348873,69774.6
390,111 St (J),Q,J,False,40.69741821289063,-73.83634185791016,345908,69181.6
391,111 St (A),Q,A,False,40.684329986572266,-73.83216094970703,345802,69160.4
392,Junius St (3),BK,3,False,40.66351318359375,-73.90245056152344,343206,68641.2
393,Beach 67 St-Arverne By The Sea (A),Q,A,False,40.59092712402344,-73.79692077636719,331659,66331.8
394,"Norwood Av (J,Z)",BK,"J,Z",False,40.68141174316406,-73.88003540039062,331544,66308.8
395,215 St (1),M,1,False,40.86944580078125,-73.91527557373047,327588,65517.6
396,"Bronx Park East (2,5)",BX,"2,5",False,40.84882736206055,-73.86845397949219,326086,65217.2
397,"75 St-Elderts Ln (J,Z)",Q,"J,Z",False,40.69132232666016,-73.86714172363281,315325,63065.0
398,Cleveland St (J),BK,J,False,40.67994689941406,-73.88463592529297,313815,62763.0
399,Middletown Rd (6),BX,6,False,40.84386444091797,-73.83631896972656,311647,62329.4
400,21 St (G),Q,G,False,40.74406433105469,-73.94972229003906,299538,59907.6
401,Avenue U (F),BK,F,False,40.59606170654297,-73.97335815429688,295410,59082.0
402,55 St (D),BK,D,False,40.63143539428711,-73.99547576904297,293035,58607.0
403,Avenue I (F),BK,F,False,40.62532043457031,-73.97612762451172,290191,58038.2
404,Alabama Av (J),BK,J,False,40.6769905090332,-73.89865112304688,277397,55479.4
405,Whitlock Av (6),BX,6,False,40.8265266418457,-73.88628387451172,270616,54123.2
406,Atlantic Av (L),BK,L,False,40.67534637451172,-73.9030990600586,255476,51095.2
407,Beach 60 St (A),Q,A,False,40.59237289428711,-73.78852081298828,255329,51065.8
408,Neptune Av (F),BK,F,False,40.58101272583008,-73.97457122802734,251861,50372.2
409,104 St (A),Q,A,False,40.68170928955078,-73.83768463134766,235184,47036.8
410,Park Pl (S),BK,S,False,40.67477035522461,-73.95762634277344,234367,46873.4
411,Beach 25 St (A),Q,A,False,40.60006713867188,-73.7613525390625,233633,46726.6
412,Cypress Hills (J),BK,J,False,40.68994140625,-73.87255096435547,218454,43690.8
413,Bay Pkwy (F),BK,F,False,40.62076950073242,-73.97526550292969,210806,42161.2
414,East 143 St-St Mary's St (6),BX,6,False,40.808719635009766,-73.90765380859375,194494,38898.8
415,Aqueduct Racetrack (A),Q,A,False,40.672096252441406,-73.83592224121094,126542,25308.4
416,Beach 36 St (A),Q,A,False,40.59539794921875,-73.76817321777344,123523,24704.6
417,Aqueduct-North Conduit Av (A),Q,A,False,40.668235778808594,-73.83406066894531,122859,24571.8
418,"Beach 90 St (A,S)",Q,"S,A",False,40.588035583496094,-73.81364440917969,110654,22130.8
419,"Rockaway Park-Beach 116 St (A,S)",Q,"S,A",False,40.580902099609375,-73.8355941772461,106932,21386.4
420,Beach 44 St (A),Q,A,False,40.59294128417969,-73.77601623535156,103082,20616.4
421,"Beach 98 St (A,S)",Q,"S,A",False,40.58530807495117,-73.820556640625,67598,13519.6
422,"Broad Channel (A,S)",Q,"S,A",False,40.60838317871094,-73.81592559814453,42209,8441.8
423,"Beach 105 St (A,S)",Q,"S,A",False,40.58320999145508,-73.82756042480469,41993,8398.6
424,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)/Bryant Pk (B,D,F,M)/5 Av (7)",M,"3,C,1,2,S,7,F,M,E,N,R,Q,,B,W,A,D",True,40.75730895996094,-73.98196411132812,8944795,4472397.5
425,"Grand Central-42 St (S,4,5,6,7)",M,"5,S,4,7,6",True,40.75177764892578,-73.97684478759766,4054009,2027004.5
426,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",M,"F,M,N,R,Q,B,W,D",True,40.74971771240234,-73.98782348632812,3946350,1973175.0
427,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",M,"5,N,R,Q,4,L,W,6",True,40.73573684692383,-73.98995208740234,3921454,1960727.0
428,"34 St-Penn Station (A,C,E)",M,"C,E,A",True,40.752288818359375,-73.99339294433594,2784310,1392155.0
429,"59 St-Columbus Circle (A,B,C,D,1)",M,"C,1,B,A,D",True,40.76829528808594,-73.98173522949219,2698282,1349141.0
430,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",Q,"F,M,E,R,,7",True,40.746849060058594,-73.8913345336914,2535446,1267723.0
431,"Fulton St (A,C,J,Z,2,3,4,5)",M,"J,C,3,2,5,Z,4,A",True,40.71037292480469,-74.0065689086914,2517408,1258704.0
432,"34 St-Penn Station (1,2,3)",M,"3,1,2",True,40.75037384033203,-73.99105834960938,2482414,1241207.0
433,Flushing-Main St (7),Q,7,True,40.75960159301758,-73.83003234863281,2274092,1137046.0
434,"Canal St (J,N,Q,R,W,Z,6)",M,"J,N,R,Z,Q,W,6",True,40.71952819824219,-73.99989318847656,2126070,1063035.0
435,"West 4 St-Washington Sq (A,B,C,D,E,F,M)",M,"F,M,C,E,B,A,D",True,40.73233795166016,-74.00049591064453,2110391,1055195.5
436,"14 St (A,C,E)/8 Av (L)",M,"C,E,,A,L",True,40.74089431762695,-74.00169372558594,2088485,1044242.5
437,"14 St (F,M,1,2,3)/6 Av (L)",M,"F,M,3,1,2,,L",True,40.73822784423828,-73.99620819091797,1985768,992884.0
438,Bedford Av (L),BK,L,True,40.71730422973633,-73.95687103271484,1889476,944738.0
439,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",M,"F,M,B,,D,6",True,40.72591400146485,-73.99465942382812,1836222,918111.0
440,"72 St (1,2,3)",M,"3,1,2",True,40.7784538269043,-73.98197174072266,1719586,859793.0
441,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",BK,"3,2,5,N,R,Q,4,B,D",True,40.6844596862793,-73.97689056396484,1699744,849872.0
442,"86 St (4,5,6)",M,"5,4,6",True,40.77949142456055,-73.9555892944336,1690635,845317.5
443,"Lexington Av (N,R,W)/59 St (4,5,6)",M,"5,N,R,4,,W,6",True,40.76266098022461,-73.96725463867188,1655777,827888.5
444,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",M,"3,C,E,2,R,,A,W",True,40.714111328125,-74.00858306884766,1586774,793387.0
445,"Delancey St (F)/Essex St (J,M,Z)",M,"F,M,J,Z,",True,40.71861267089844,-73.98743438720703,1494234,747117.0
446,"57 St-7 Av (N,Q,R,W)",M,"N,R,Q,W",True,40.76466369628906,-73.98065948486328,1398628,699314.0
447,"96 St (1,2,3)",M,"3,1,2",True,40.79391860961914,-73.97232055664062,1339481,669740.5
448,"Lexington Av-53 St (E,M)/51 St (6)",M,"M,E,,6",True,40.75755310058594,-73.96905517578125,1254570,627285.0
449,"47-50 Sts-Rockefeller Center (B,D,F,M)",M,"F,M,B,D",True,40.75866317749024,-73.98133087158203,1182313,591156.5
450,Junction Blvd (7),Q,7,True,40.7491455078125,-73.8695297241211,1179785,589892.5
451,"49 St (N,R,W)",M,"N,R,W",True,40.7598991394043,-73.98413848876953,1065686,532843.0
452,1 Av (L),M,L,True,40.730953216552734,-73.98162841796875,1059071,529535.5
453,"161 St-Yankee Stadium (B,D,4)",BX,"4,B,D",True,40.82799530029297,-73.92565155029297,1056299,528149.5
454,"Grand St (B,D)",M,"B,D",True,40.71826553344727,-73.9937515258789,1017940,508970.0
455,2 Av (F),M,F,True,40.7234001159668,-73.98993682861328,984049,492024.5
456,"South Ferry (1)/Whitehall St (R,W)",M,"1,R,,W",True,40.703086853027344,-74.01299285888672,979475,489737.5
457,86 St (Q),M,Q,True,40.77788925170898,-73.95178985595703,969011,484505.5
458,"Jay St-MetroTech (A,C,F,R)",BK,"F,C,R,A",True,40.69233703613281,-73.9859390258789,962281,481140.5
459,50 St (1),M,1,True,40.76172637939453,-73.98384857177734,962172,481086.0
460,103 St-Corona Plaza (7),Q,7,True,40.7498664855957,-73.86270141601562,940582,470291.0
461,"125 St (A,B,C,D)",M,"C,B,A,D",True,40.81110763549805,-73.95234680175781,932278,466139.0
462,Lorimer St (L)/Metropolitan Av (G),BK,"G,,L",True,40.71406173706055,-73.95027160644531,903650,451825.0
463,"Myrtle-Wyckoff Avs (L,M)",BK,"M,L",True,40.69981384277344,-73.91158294677734,901212,450606.0
464,"50 St (C,E)",M,"C,E",True,40.762454986572266,-73.9859848022461,897129,448564.5
465,72 St (Q),M,Q,True,40.768798828125,-73.95842742919922,875594,437797.0
466,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",Q,"J,E,Z",True,40.70048522949219,-73.80796813964844,842130,421065.0
467,"Court Sq (E,G,M,7)",Q,"M,E,G,7",True,40.74784469604492,-73.94383239746094,817583,408791.5
468,"Forest Hills-71 Av (E,F,M,R)",Q,"F,M,E,R",True,40.7216911315918,-73.84452056884766,815895,407947.5
469,"Prince St (R,W)",M,"R,W",True,40.72433090209961,-73.9977035522461,815712,407856.0
470,77 St (6),M,6,True,40.77362060546875,-73.95987701416016,805173,402586.5
471,"168 St (A,C,1)",M,"C,1,A",True,40.84071731567383,-73.93955993652344,795994,397997.0
472,33 St (6),M,6,True,40.7460823059082,-73.9820785522461,795330,397665.0
473,"8 St-New York University (R,W)",M,"R,W",True,40.73032760620117,-73.99263000488281,793450,396725.0
474,"23 St (R,W)",M,"R,W",True,40.741302490234375,-73.98934173583984,786291,393145.5
475,"145 St (A,B,C,D)",M,"C,B,A,D",True,40.82478332519531,-73.9442138671875,780889,390444.5
476,34 St-Hudson Yards (7),M,7,True,40.7558822631836,-74.00190734863281,774962,387481.0
477,"125 St (4,5,6)",M,"5,4,6",True,40.80413818359375,-73.93759155273438,763855,381927.5
478,66 St-Lincoln Center (1),M,1,True,40.77344131469727,-73.98220825195312,757773,378886.5
479,"81 St-Museum of Natural History (B,C)",M,"C,B",True,40.78143310546875,-73.9721450805664,750807,375403.5
480,"Crown Heights-Utica Av (3,4)",BK,"3,4",True,40.66889572143555,-73.93294525146484,745132,372566.0
481,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",M,"J,5,Z,4,,6",True,40.71324157714844,-74.00340270996094,739788,369894.0
482,90 St-Elmhurst Av (7),Q,7,True,40.74840927124024,-73.8766098022461,738634,369317.0
483,"Coney Island-Stillwell Av (D,F,N,Q)",BK,"F,N,Q,D",True,40.577423095703125,-73.98123168945312,737772,368886.0
484,"Court St (R)/Borough Hall (2,3,4,5)",BK,"3,2,5,R,4,",True,40.69409942626953,-73.98999786376953,721885,360942.5
485,East Broadway (F),M,F,True,40.713714599609375,-73.99017333984375,718127,359063.5
486,York St (F),BK,F,True,40.70139694213867,-73.98674774169922,712326,356163.0
487,"Queensboro Plaza (N,W,7)",Q,"N,W,7",True,40.75058364868164,-73.94020080566406,702485,351242.5
488,Woodside-61 St (7),Q,7,True,40.7456283569336,-73.90298461914062,702410,351205.0
489,"23 St (F,M)",M,"F,M",True,40.74287796020508,-73.9928207397461,685259,342629.5
490,Astor Place (6),M,6,True,40.73005294799805,-73.99107360839844,677113,338556.5
491,Spring St (6),M,6,True,40.7223014831543,-73.99713897705078,669738,334869.0
492,23 St (6),M,6,True,40.739864349365234,-73.98660278320312,658790,329395.0
493,"Kew Gardens-Union Turnpike (E,F)",Q,"F,E",True,40.71443939208984,-73.83100891113281,653224,326612.0
494,86 St (1),M,1,True,40.78864288330078,-73.9762191772461,652766,326383.0
495,28 St (6),M,6,True,40.74306869506836,-73.98426055908203,648050,324025.0
496,"Nostrand Av (A,C)",BK,"C,A",True,40.68043899536133,-73.95042419433594,639511,319755.5
497,79 St (1),M,1,True,40.783935546875,-73.97991943359375,633756,316878.0
498,"DeKalb Av (B,Q,R)",BK,"R,Q,B",True,40.69063568115234,-73.98182678222656,627801,313900.5
499,96 St (Q),M,Q,True,40.78431701660156,-73.94715118408203,616554,308277.0
500,"Jamaica Center-Parsons-Archer (E,J,Z)",Q,"J,E,Z",True,40.7021484375,-73.80110931396484,616391,308195.5
501,Christopher St-Sheridan Sq (1),M,1,True,40.7334213256836,-74.0029067993164,613046,306523.0
502,"23 St (C,E)",M,"C,E",True,40.745906829833984,-73.99803924560547,607936,303968.0
503,"Bowling Green (4,5)",M,"5,4",True,40.70481872558594,-74.01406860351562,607621,303810.5
504,"Lexington Av-63 St (F,Q)",M,"F,Q",True,40.76462936401367,-73.96611022949219,607522,303761.0
505,Mets-Willets Point (7),Q,7,True,40.75462341308594,-73.84562683105469,606121,303060.5
506,"Woodhaven Blvd (M,R)",Q,"M,R",True,40.73310470581055,-73.86923217773438,599471,299735.5
507,"Franklin Av (2,3,4,5)/Botanic Garden (S)",BK,"3,2,5,4,,S",True,40.67068099975586,-73.9581298828125,596556,298278.0
508,"Canal St (A,C,E)",M,"C,E,A",True,40.7208251953125,-74.0052261352539,592773,296386.5
509,23 St (1),M,1,True,40.74407958984375,-73.99565887451172,582884,291442.0
510,"7 Av (B,D,E)",M,"E,B,D",True,40.76286315917969,-73.98163604736328,572945,286472.5
511,"5 Av-59 St (N,R,W)",M,"N,R,W",True,40.76481246948242,-73.97335052490234,572367,286183.5
512,"36 St (D,N,R)",BK,"N,R,D",True,40.65514373779297,-74.00354766845703,567420,283710.0
513,Cathedral Pkwy-110 St (1),M,1,True,40.8039665222168,-73.96685028076172,541923,270961.5
514,"28 St (R,W)",M,"R,W",True,40.7454948425293,-73.98869323730469,541114,270557.0
515,"Kings Hwy (B,Q)",BK,"Q,B",True,40.60866928100586,-73.95773315429688,538134,269067.0
516,Vernon Blvd-Jackson Av (7),Q,7,True,40.74262619018555,-73.95358276367188,524971,262485.5
517,"Grand Av-Newtown (M,R)",Q,"M,R",True,40.73701477050781,-73.8772201538086,524515,262257.5
518,"Hoyt-Schermerhorn Sts (A,C,G)",BK,"C,G,A",True,40.68848419189453,-73.98500061035156,521723,260861.5
519,103 St (1),M,1,True,40.79944610595703,-73.96837615966797,520856,260428.0
520,"Queens Plaza (E,M,R)",Q,"M,E,R",True,40.74897384643555,-73.93724060058594,516649,258324.5
521,Parkchester (6),BX,6,True,40.83322525024414,-73.8608169555664,514930,257465.0
522,82 St-Jackson Hts (7),Q,7,True,40.747657775878906,-73.88369750976562,510144,255072.0
523,WTC Cortlandt (1),M,1,True,40.71183395385742,-74.01219177246094,506128,253064.0
524,"Marcy Av (J,M,Z)",BK,"M,J,Z",True,40.70835876464844,-73.95775604248047,504042,252021.0
525,116 St-Columbia University (1),M,1,True,40.80772018432617,-73.964111328125,493949,246974.5
526,"Utica Av (A,C)",BK,"C,A",True,40.67936325073242,-73.93073272705078,491546,245773.0
527,137 St-City College (1),M,1,True,40.82200622558594,-73.95367431640625,486271,243135.5
528,"4 Av (F,G)/9 St (R)",BK,"F,R,G,",True,40.67084884643555,-73.9883041381836,485030,242515.0
529,"Wall St (2,3)",M,"3,2",True,40.70682144165039,-74.00910186767578,478188,239094.0
530,Jamaica-179 St (F),Q,F,True,40.712646484375,-73.7838134765625,470118,235059.0
531,"125 St (2,3)",M,"3,2",True,40.80775451660156,-73.94549560546875,467962,233981.0
532,"Flatbush Av-Brooklyn College (2,5)",BK,"2,5",True,40.6328353881836,-73.94763946533203,466480,233240.0
